////////////////////////////////////////////////////////////////////////////////////////////////
Name
&&&&&&
Greenland
739,121
&&&&&&
////////////////////////////////////////////////////////////////////////////////////////////////
Neighbors
------
12
15
16
21
------
///////////////////////////////////////////////////////////////////////////////////////
FigurePositions:
*******
648,97
676,134
702,97
749,66
803,110
745,116
697,189
780,156
733,161
793,65
*******
///////////////////////////////////////////////////////////////////////////////////////
Flächen:

110
720,105
896,68
884,72
876,75
871,78
869,80
869,88
863,93
855,99
854,101
863,102
866,106
866,109
862,110
862,118
869,125
871,130
862,132
857,138
855,145
851,150
842,150
849,158
848,163
843,170
830,170
824,174
815,181
806,183
792,186
779,189
767,194
757,200
754,204
739,204
738,200
735,199
729,207
721,216
715,228
709,239
704,259
698,260
685,254
674,244
664,244
661,236
653,224
650,217
650,210
648,211
647,193
650,192
652,185
642,179
642,160
644,153
642,142
631,131
622,130
616,123
611,114
606,113
579,114
576,114
572,116
567,116
562,110
561,104
565,98
568,91
573,89
579,93
584,84
597,74
611,75
621,68
633,65
643,60
671,60
684,55
689,55
695,58
701,58
704,53
705,47
713,38
717,38
725,45
736,40
746,36
755,34
766,38
766,38
777,43
785,45
802,44
816,49
828,55
840,57
849,59
849,62
845,64
845,68
858,70
868,67
878,64
887,64
891,67
896,68

5
606,113
599,117
588,121
581,117
579,114
