*******
722,646
770,630
*******
480,266
644,179
*******
642,141
533,110
*******
635,230
652,219
*******
885,259
900,325
*******
900,325
851,272
*******
851,272
830,224
*******
830,224
885,259
*******
885,259
851,272
*******
832,453
834,460
*******
1602,682
1571,636
********
1668,785
1647,759
********
1668,785
1706,702
********
1706,702
1742,770
********
1706,702
1681,693
********
960,449
970,494
********
1873,187
1930,187
********
44,206
-10,206
********
1106,877
1143,881
********
1177,824
1134,789
********
858,356
853,341
********
780,210
772,190
********
1706,415
1667,410
********
1680,269
1639,245
********
1193,645
1194,612

