///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
i=0 Afrika

129
1087,498
1090,505
1092,516
1085,520
1090,527
1096,534
1106,545
1105,553
1108,556
1107,561
1110,562
1122,574
1131,595
1137,609
1151,626
1160,646
1172,646
1198,643
1211,636
1212,642
1209,646
1210,657
1187,688
1179,709
1163,721
1137,743
1126,770
1126,782
1141,793
1143,803
1143,824
1138,836
1113,855
1108,856
1107,878
1096,893
1085,904
1085,913
1090,917
1090,925
1081,932
1072,938
1071,954
1056,960
1037,966
1023,966
1006,976
1000,973
997,969
996,964
985,951
990,943
975,915
970,903
971,881
957,856
952,844
948,832
950,814
955,815
961,823
961,812
956,792
955,779
960,774
961,768
958,763
951,753
937,738
923,728
923,724
932,715
932,702
933,693
923,684
914,683
901,673
878,672
868,680
864,680
854,674
851,674
832,684
819,683
811,677
800,668
783,647
772,634
759,620
757,606
760,595
764,580
764,572
756,562
756,559
767,547
770,529
776,522
800,511
806,504
807,497
804,494
804,488
815,478
827,469
833,458
837,458
843,465
854,463
869,461
891,451
923,451
931,454
938,463
936,469
931,476
942,478
952,483
955,492
975,494
990,498
993,495
992,479
997,479
1010,487
1025,487
1039,490
1071,499
1087,498
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
i=1 Südamerika

104
396,546
409,542
413,546
417,543
424,543
431,549
434,548
441,539
445,537
459,530
472,527
482,524
487,534
489,537
493,532
506,530
509,536
516,537
520,534
526,533
543,546
555,550
569,561
591,568
606,574
612,580
624,591
629,602
640,608
652,610
669,619
696,627
719,637
726,654
714,669
705,682
700,696
704,712
696,723
686,736
678,753
650,757
637,772
634,784
633,798
619,815
608,831
592,838
589,841
593,851
591,858
584,865
576,867
564,868
559,873
559,882
548,893
546,908
540,918
544,926
541,940
538,948
531,957
538,966
539,973
554,986
569,995
584,1002
571,1008
562,1011
553,1008
545,999
539,999
533,1003
525,1003
516,993
502,981
489,963
479,951
472,938
472,878
476,849
479,821
482,783
483,733
481,730
472,722
458,714
450,711
430,689
410,662 
400,649
399,640
405,633
406,619
403,613
408,607
415,606
415,597
422,585
421,570
415,561
405,555
396,546
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
i=2 Nordamerika

375
409,541
396,545
388,537
386,526
378,517
373,514
359,514
345,508
326,497
304,489
290,474
280,454
272,441
267,441
261,432
259,423
254,412
240,384
237,368
240,354
247,330
241,304
247,301
244,293
231,280
216,277
201,256
189,241
175,234
163,227
147,225
134,231
123,238
120,229
115,229
105,236
96,250
95,258
83,260
81,257
78,257
76,258
70,260
64,263
54,266
38,265
51,258
65,250
69,247
69,241
64,237
52,239
51,231
39,224
34,219
40,211
48,200
54,201
59,205
65,206
67,203
63,198
56,195
54,185
62,178
69,176
76,176
76,165
72,159
71,156
74,152
80,150
96,150
102,147
119,141
125,139
139,146
157,152
189,154
205,155
228,159
247,156
267,152
279,150
286,154
289,154
296,150
303,148
311,152
316,153
326,157
329,157
329,147
338,135
340,131
329,125
317,129
303,132
293,133
291,130
303,121
320,111
340,106
353,94
361,94
368,97
374,96
379,93
385,99
386,103
392,99
394,96
405,99
424,100
428,104
435,99
453,98
467,93
466,86
463,81
461,76
463,73
472,73
476,77
481,78
484,83
488,87
495,94
499,98
503,96
509,90
506,85
501,83
492,82
487,78
490,73
495,68
496,58
491,54
485,51
494,44
499,37
509,40
514,39
519,35
528,31
604,30
620,38
635,44
645,46
651,48
647,51
631,54
619,62
601,66
586,72
572,78
561,83
555,90
546,97
535,102
535,109
529,113
511,114
500,128
487,129
484,133
484,150
493,162
507,161
505,169
508,171
512,167
517,165
517,160
515,157
514,150
509,147
503,146
501,141
505,136
512,129
523,126
543,126
548,123
561,123
572,132
581,128
587,134
604,145
615,159
614,170
619,176
629,176
633,182
637,187
634,190
625,197
619,204
615,209
615,214
608,213
599,213
594,209
590,209
585,206
572,198
553,197
549,192
553,189
564,186
570,183
570,175
565,176
559,183
547,182
546,171
550,168
558,168
563,163
561,154
558,150
551,157
545,161
539,162
535,168
534,172
530,177
525,184
518,188
515,190
514,196
521,201
529,204
532,210
529,213
529,226
521,227
517,230
501,229
494,225
499,221
505,220
517,222
517,216
512,209
506,209
497,215
492,212
490,204
500,194
498,192
486,203
469,209
454,218
445,225
442,227
440,230
442,240
454,254
468,265
489,269
505,273
512,281
517,293
520,297
527,291
530,287
533,278
529,273
532,269
538,267
549,257
550,251
545,244
540,242
540,240
543,237
553,235
554,234
555,213
563,213
572,216
584,219
598,227
607,235
606,246
610,249
617,246
625,237
631,230
636,227
639,234
639,245
646,265
659,273
674,284
680,298
684,310
684,324
678,332
665,332
649,326
642,320
653,312
663,304
663,299
658,299
646,305
636,313
632,317
618,332
616,337
619,341
635,340
637,340
625,349
608,359
597,354
592,346
583,346
573,355
574,364
567,368
550,373
535,382
527,391
523,399
511,408
496,420
485,427
480,431
488,442
489,450
484,463
475,471
472,466
468,455
469,439
466,435
460,438
450,438
438,436
434,441
428,439
418,438
413,435
400,435
395,439
388,439
383,442
372,446
361,455
359,464
362,478
368,487
379,490
395,487
400,479
409,477
421,478
423,484
415,495
409,503
406,507
407,510
412,510
423,513
423,516
420,521
413,527
410,530
407,534
406,535
409,541
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
i=3 Europa

340
1020,429
1027,420
1033,411
1035,408
1041,412
1046,414
1059,415
1068,407
1079,406
1091,409
1099,414
1113,415
1122,412
1125,409
1138,414
1145,421
1153,431
1161,438
1165,439
1168,437
1175,436
1177,446
1184,449
